trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999999999846514}",25,0,-124.49492064127917,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9999999999838645}",20,0,-75.26567178485901,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9999999999830371}",20,0,-158.695936615505,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9999999999821676}",20,0,-165.12600336172306,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9999999999812532}",25,0,-166.19376220375614,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.999999999980292}",20,0,-62.859433062854734,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9999999999792817}",20,0,-84.32617203361623,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9999999999782194}",20,0,-170.11287371892448,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9999999999771028}",20,0,-102.83756387622779,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9999999999759286}",20,0,-78.76641359033933,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9999999999746945}",20,0,-78.03158641768863,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9999999999733971}",25,0,-108.07268631557426,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.999999999972033}",30,0,-91.2785714639182,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9999999999705993}",25,8,-12.645059936449794,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9999999999690918}",25,0,-90.34626891929915,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9999999999675071}",20,0,-93.89381781937557,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9999999999658411}",25,0,-110.55335765403038,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9999999999640898}",35,0,-187.50365246508582,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9999999999622486}",20,0,-28.418898349471572,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9999999999603131}",20,0,-44.01752114844788,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9999999999582783}",30,3,-87.13622217714286,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.9999999999561391}",20,0,-105.55716493300964,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9999999999538904}",20,0,-45.06608800572915,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9999999999515263}",20,14,-12.815766184541532,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.999999999949041}",30,0,-97.80483506262283,"{0: 15, 1: 7, 2: 8, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9999999999464282}",25,0,-98.38723615737855,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9999999999436817}",20,0,-123.56197827022339,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.999999999940794}",20,0,-128.84988256880573,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9999999999377585}",30,0,-156.62612949914708,"{0: 15, 1: 7, 2: 6, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.9999999999345675}",25,5,-131.87193908769487,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.9999999999312126}",20,0,-75.69318676724467,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9999999999276858}",25,3,-111.18781992143833,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.9999999999239781}",25,0,-149.2924616089981,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9999999999200804}",20,0,-83.81563274217636,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9999999999159828}",25,0,-122.54259334651265,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9999999999116751}",25,0,-110.02415909627268,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9999999999071467}",20,13,-36.97111562011395,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.9999999999023861}",35,26,-19.14189064343584,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9999999998973812}",25,0,-100.20269673198302,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9999999998921199}",20,0,-133.96148284017204,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9999999998865887}",20,0,-153.62700651330624,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
42,False,"{'a': 0.01, 'e': 0.999999999880774}",25,0,-181.69692889636661,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9999999998746611}",20,11,-25.867197902334667,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.999999999868235}",25,0,-297.60695522675,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 6}",0
45,False,"{'a': 0.01, 'e': 0.999999999861479}",25,0,-95.07151991828236,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.9999999998543769}",30,0,-236.812809914033,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
47,False,"{'a': 0.01, 'e': 0.9999999998469107}",25,0,-66.15040898686937,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.9999999998390616}",20,0,-78.43234023810392,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.9999999998308102}",30,3,-133.62696569669512,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.9999999998221356}",25,0,-103.9760121596919,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.9999999998130165}",20,0,-53.780957472704934,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.9999999998034295}",30,0,-131.03289649469778,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.9999999997933511}",20,0,-61.91413781115702,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.999999999782756}",20,0,-180.14991312423174,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.9999999997716176}",20,0,-136.3455324443795,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.9999999997599083}",25,0,-143.27188219752142,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.9999999997475986}",20,0,-59.4738196210965,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.9999999997346576}",25,0,-111.21754932266606,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.9999999997210531}",25,0,-123.39706305741187,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.9999999997067512}",25,0,-133.5963895566266,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.9999999996917162}",20,0,-113.05506001799158,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.9999999996759101}",20,0,-199.35171109425937,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
63,False,"{'a': 0.01, 'e': 0.9999999996592936}",35,0,-186.6586539776809,"{0: 19, 1: 4, 2: 10, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.9999999996418252}",30,0,-66.05388210689536,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.9999999996234612}",25,15,-64.84788038323356,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
