trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.34755489740863,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.694696924635,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.74544784000939,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.55021888313442,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.15674230382126,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.59632992209748,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.45758573240113,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-43.49047376274292,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-261.323837208274,"{0: 14, 1: 11, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.07444171373955,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.51358271889092,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,2,-75.34766320370973,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.60095777595821,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.36894607559844,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-81.03104826136843,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.83119346747841,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,6,-95.71699233793483,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.24425484464902,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.70415502442113,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-169.55863087812682,"{0: 22, 1: 6, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.18261354626944,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.46320871210038,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.44696181433291,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.08829402018276,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.98809962712772,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.89777556632632,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-86.08241145658633,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.96043936397012,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-213.79046154442352,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.35844672617327,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
